Year,Period,Estimate Value
2001,Qtr1,1.1
2001,Qtr2,1.0
2001,Qtr3,1.1
2001,Qtr4,0.9
2002,Qtr1,0.8
2002,Qtr2,1.0
2002,Qtr3,0.8
2002,Qtr4,0.7
2003,Qtr1,1.2
2003,Qtr2,0.9
2003,Qtr3,1.0
2003,Qtr4,0.8
2004,Qtr1,1.1
2004,Qtr2,1.0
2004,Qtr3,0.9
2004,Qtr4,0.7
2005,Qtr1,0.9
2005,Qtr2,0.6
2005,Qtr3,0.7
2005,Qtr4,0.8
2006,Qtr1,0.6
2006,Qtr2,0.9
2006,Qtr3,1.0
2006,Qtr4,0.8
2007,Qtr1,0.8
2007,Qtr2,0.9
2007,Qtr3,0.8
2007,Qtr4,0.8
2008,Qtr1,0.7
2008,Qtr2,0.7
2008,Qtr3,0.7
2008,Qtr4,0.5
2009,Qtr1,0.3
2009,Qtr2,0.3
2009,Qtr3,0.5
2009,Qtr4,0.4
2010,Qtr1,0.6
2010,Qtr2,0.4
2010,Qtr3,0.4
2010,Qtr4,0.4
2011,Qtr1,0.6
2011,Qtr2,0.6
2011,Qtr3,0.3
2011,Qtr4,0.4
2012,Qtr1,0.6
2012,Qtr2,0.4
2012,Qtr3,0.4
2012,Qtr4,0.4
2013,Qtr1,0.5
2013,Qtr2,0.5
2013,Qtr3,0.4
2013,Qtr4,0.5
2014,Qtr1,0.3
2014,Qtr2,0.7
2014,Qtr3,0.7
2014,Qtr4,0.5
2015,Qtr1,0.7
2015,Qtr2,0.2
2015,Qtr3,0.6
2015,Qtr4,0.6
2016,Qtr1,0.6
2016,Qtr2,0.6
2016,Qtr3,0.6
2016,Qtr4,0.5
2017,Qtr1,0.6
2017,Qtr2,0.6
2017,Qtr3,0.7
2017,Qtr4,0.6
2018,Qtr1,0.8
2018,Qtr2,0.7
2018,Qtr3,0.8
2018,Qtr4,0.7
2019,Qtr1,0.6
2019,Qtr2,0.7
2019,Qtr3,0.7
2019,Qtr4,0.7
2020,Qtr1,0.8
2020,Qtr2,0.5
2020,Qtr3,0.4
2020,Qtr4,0.8
2021,Qtr1,0.8
2021,Qtr2,0.7
2021,Qtr3,1.2
2021,Qtr4,1.1
2022,Qtr1,1.4
2022,Qtr2,1.3
2022,Qtr3,1.2
2022,Qtr4,1.1
2023,Qtr1,1.2
2023,Qtr2,1.0
2023,Qtr3,1.0
2023,Qtr4,0.9
2024,Qtr1,1.2
2024,Qtr2,0.9
2024,Qtr3,0.8
2024,Qtr4,0.9
