Name,Field,Major,Education,Skills,Projects,Experience
Candidate 355,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Senior","Electrical Engineering, Mechanical Engineering, Computer Science, Software Engineering, Data Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Meta
Candidate 222,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 1","Geography, Political Science, Psychology, International Relations","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Amnesty International
Candidate 674,Math & Technology,Mechanical Engineering,"Master's in Mechanical Engineering, Year: Year 1","Data Science, Electrical Engineering, Software Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Microsoft
Candidate 724,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Sophomore","Taxation, Accounting, Finance","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at JP Morgan
Candidate 902,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Freshman","Computer Science, Electrical Engineering, Data Science",N/A,N/A
Candidate 372,Math & Technology,Electrical Engineering,"Bachelor's in Electrical Engineering, Year: Freshman","Mechanical Engineering, Data Science, Electrical Engineering",N/A,N/A
Candidate 615,Humanities & Social Sciences,Geography,"Bachelor's in Geography, Year: Freshman","Political Science, History, Psychology",N/A,N/A
Candidate 933,Arts & Design,Photography,"Master's in Photography, Year: Year 2","Fashion Design, Videography, Photography, Music","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Adobe
Candidate 450,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Senior","Mathematics, Electrical Engineering, Mechanical Engineering, Software Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Tesla
Candidate 762,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Sophomore","Pharmaceutical Sciences, Biology, Healthcare","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Moderna
Candidate 957,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 2","Supply Chain Management, Investment Banking, Taxation, Real Estate, Finance","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Deloitte
Candidate 391,Math & Technology,Electrical Engineering,"Bachelor's in Electrical Engineering, Year: Freshman","Software Engineering, Computer Science, Mathematics, Data Science",N/A,N/A
Candidate 286,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Sophomore","Biology, Biomedical Engineering, Nursing, Healthcare, Public Health","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Moderna
Candidate 796,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Junior","Real Estate, Finance, Taxation, Investment Banking","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Morgan Stanley
Candidate 696,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 2","Real Estate, Taxation, Investment Banking, Accounting","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Deloitte
Candidate 922,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Political Science, Geography, Sociology, History","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at National Geographic
Candidate 246,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Sophomore","Electrical Engineering, Mechanical Engineering, Software Engineering, Data Science","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Tesla
Candidate 813,Math & Technology,Data Science,"Master's in Data Science, Year: Year 2","Electrical Engineering, Mathematics, Computer Science, Mechanical Engineering, Data Science","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Apple
Candidate 740,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Sophomore","Mathematics, Electrical Engineering, Computer Science, Mechanical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Apple
Candidate 966,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Freshman","Investment Banking, Supply Chain Management, Taxation",N/A,N/A
Candidate 686,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 2","Photography, Graphic Design, Fashion Design, Videography","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Warner Bros
Candidate 989,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 1","Photography, Music, Fashion Design, Videography","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Warner Bros
Candidate 374,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 1","Political Science, Sociology, History, Geography","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at National Geographic
Candidate 314,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Junior","Biology, Public Health, Pharmaceutical Sciences, Nursing, Biomedical Engineering","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Mayo Clinic
Candidate 118,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Junior","Real Estate, Supply Chain Management, Investment Banking, Accounting, Taxation","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at McKinsey
Candidate 590,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Healthcare, Biology, Nursing, Pharmaceutical Sciences","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at CDC
Candidate 305,Arts & Design,Photography,"Bachelor's in Photography, Year: Sophomore","Fine Arts, Fashion Design, Videography","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 115,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Junior","Finance, Real Estate, Taxation, Accounting, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 357,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Sophomore","Political Science, Geography, History, Sociology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at National Geographic
Candidate 364,Arts & Design,Photography,"Bachelor's in Photography, Year: Junior","Photography, Fashion Design, Videography, Graphic Design, Music","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Adobe
Candidate 526,Arts & Design,Music,"Bachelor's in Music, Year: Sophomore","Music, Fine Arts, Photography, Videography, Fashion Design","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Adobe
Candidate 500,Business & Finance,Finance,"Master's in Finance, Year: Year 1","Real Estate, Accounting, Supply Chain Management, Taxation, Investment Banking","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 225,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 1","Sociology, International Relations, History, Geography","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at United Nations
Candidate 197,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Real Estate, Finance, Taxation, Accounting","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 840,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Biomedical Engineering, Nursing, Public Health","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at CDC
Candidate 246,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 2","History, Sociology, Psychology","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at Brookings Institution
Candidate 884,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Junior","History, Psychology, International Relations","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Amnesty International
Candidate 296,Business & Finance,Taxation,"Master's in Taxation, Year: Year 2","Supply Chain Management, Investment Banking, Taxation","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Deloitte
Candidate 184,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 2","Supply Chain Management, Accounting, Finance, Real Estate, Taxation","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Goldman Sachs
Candidate 991,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Junior","Pharmaceutical Sciences, Public Health, Biology, Healthcare","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Pfizer
Candidate 630,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Sophomore","Healthcare, Pharmaceutical Sciences, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Johnson & Johnson
Candidate 893,Arts & Design,Photography,"Bachelor's in Photography, Year: Freshman","Videography, Photography, Music",N/A,N/A
Candidate 783,Math & Technology,Electrical Engineering,"Master's in Electrical Engineering, Year: Year 2","Electrical Engineering, Mechanical Engineering, Mathematics, Computer Science","Electrical Engineering Capstone Project, Internship Research on Electrical Engineering, Open-source contribution in Electrical Engineering",Intern at Microsoft
Candidate 900,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Senior","Data Science, Mathematics, Software Engineering","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Meta
Candidate 491,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Freshman","Psychology, Political Science, International Relations, Geography",N/A,N/A
Candidate 691,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Sophomore","Computer Science, Mechanical Engineering, Data Science, Mathematics, Software Engineering","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Apple
Candidate 815,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 1","Electrical Engineering, Software Engineering, Mathematics, Computer Science, Mechanical Engineering","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Google
Candidate 789,Arts & Design,Music,"Master's in Music, Year: Year 1","Photography, Music, Fine Arts, Graphic Design","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Disney
Candidate 869,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 1","Supply Chain Management, Accounting, Real Estate, Investment Banking","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at McKinsey
Candidate 173,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Freshman","Geography, Political Science, Psychology, History",N/A,N/A
Candidate 150,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Healthcare, Public Health, Nursing, Biology, Pharmaceutical Sciences","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Mayo Clinic
Candidate 622,Humanities & Social Sciences,History,"Bachelor's in History, Year: Senior","Political Science, Psychology, History, Sociology, International Relations","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Amnesty International
Candidate 456,Arts & Design,Music,"Bachelor's in Music, Year: Freshman","Fine Arts, Photography, Music, Fashion Design",N/A,N/A
Candidate 968,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 2","Mechanical Engineering, Data Science, Mathematics","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Microsoft
Candidate 775,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Senior","Biomedical Engineering, Public Health, Healthcare","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Moderna
Candidate 918,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Sophomore","Pharmaceutical Sciences, Nursing, Public Health, Healthcare, Biomedical Engineering","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Moderna
Candidate 546,Math & Technology,Electrical Engineering,"Bachelor's in Electrical Engineering, Year: Freshman","Mechanical Engineering, Computer Science, Electrical Engineering, Software Engineering, Mathematics",N/A,N/A
Candidate 433,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Senior","Mechanical Engineering, Software Engineering, Computer Science, Mathematics","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Apple
Candidate 178,Business & Finance,Taxation,"Master's in Taxation, Year: Year 2","Supply Chain Management, Investment Banking, Real Estate, Taxation","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at McKinsey
Candidate 256,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 1","Music, Graphic Design, Fine Arts, Fashion Design, Videography","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Warner Bros
Candidate 489,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Freshman","Computer Science, Mathematics, Electrical Engineering",N/A,N/A
Candidate 456,Business & Finance,Accounting,"Master's in Accounting, Year: Year 1","Investment Banking, Real Estate, Taxation, Accounting","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Morgan Stanley
Candidate 958,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 2","Accounting, Finance, Taxation","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Deloitte
Candidate 623,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Freshman","Biomedical Engineering, Public Health, Biology, Nursing, Pharmaceutical Sciences",N/A,N/A
Candidate 555,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 1","Healthcare, Biomedical Engineering, Public Health, Nursing","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 476,Business & Finance,Finance,"Master's in Finance, Year: Year 2","Accounting, Taxation, Finance, Real Estate, Supply Chain Management","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 161,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 2","Fashion Design, Music, Videography, Photography, Graphic Design","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Warner Bros
Candidate 625,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Pharmaceutical Sciences, Nursing, Public Health, Biomedical Engineering","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Mayo Clinic
Candidate 980,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Senior","Real Estate, Supply Chain Management, Taxation, Accounting","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Morgan Stanley
Candidate 597,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Freshman","Accounting, Real Estate, Investment Banking, Taxation, Supply Chain Management",N/A,N/A
Candidate 496,Business & Finance,Finance,"Bachelor's in Finance, Year: Senior","Supply Chain Management, Accounting, Investment Banking","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Morgan Stanley
Candidate 188,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 2","Mathematics, Electrical Engineering, Software Engineering, Data Science","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Google
Candidate 889,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 1","Accounting, Real Estate, Investment Banking, Finance, Taxation","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Morgan Stanley
Candidate 955,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Senior","Photography, Fine Arts, Graphic Design","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Warner Bros
Candidate 232,Business & Finance,Accounting,"Master's in Accounting, Year: Year 2","Real Estate, Investment Banking, Finance, Accounting, Taxation","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Goldman Sachs
Candidate 224,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Freshman","Supply Chain Management, Investment Banking, Real Estate, Finance, Accounting",N/A,N/A
Candidate 194,Medical & Life Sciences,Public Health,"Master's in Public Health, Year: Year 1","Public Health, Biology, Nursing","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Pfizer
Candidate 940,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 2","Photography, Graphic Design, Music, Videography, Fashion Design","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Pixar
Candidate 760,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Sophomore","Biology, Nursing, Healthcare, Biomedical Engineering","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Moderna
Candidate 226,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Sophomore","Videography, Music, Fashion Design, Graphic Design","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Pixar
Candidate 601,Business & Finance,Finance,"Bachelor's in Finance, Year: Junior","Investment Banking, Accounting, Real Estate, Taxation, Supply Chain Management","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 105,Arts & Design,Fashion Design,"Bachelor's in Fashion Design, Year: Freshman","Fashion Design, Fine Arts, Videography, Graphic Design",N/A,N/A
Candidate 626,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Freshman","Real Estate, Supply Chain Management, Accounting, Investment Banking, Finance",N/A,N/A
Candidate 724,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Junior","Software Engineering, Electrical Engineering, Mechanical Engineering, Mathematics, Computer Science","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Meta
Candidate 662,Business & Finance,Finance,"Master's in Finance, Year: Year 1","Supply Chain Management, Accounting, Finance, Real Estate, Investment Banking","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Deloitte
Candidate 436,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Sophomore","Investment Banking, Supply Chain Management, Taxation, Finance, Real Estate","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 449,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Junior","Public Health, Biomedical Engineering, Pharmaceutical Sciences, Nursing, Healthcare","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Mayo Clinic
Candidate 261,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","Sociology, Psychology, Geography, International Relations","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 851,Arts & Design,Photography,"Master's in Photography, Year: Year 2","Photography, Fashion Design, Graphic Design, Fine Arts","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 489,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 1","Geography, Political Science, History, International Relations","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at National Geographic
Candidate 948,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Sophomore","Real Estate, Finance, Taxation","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Deloitte
Candidate 809,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Sophomore","International Relations, Geography, Sociology, History","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at National Geographic
Candidate 527,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Sophomore","History, Geography, International Relations","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at National Geographic
Candidate 216,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Sophomore","Healthcare, Biomedical Engineering, Nursing, Biology, Public Health","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 442,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 2","Fashion Design, Graphic Design, Photography, Fine Arts, Music","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Adobe
Candidate 802,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Junior","Sociology, History, Geography, International Relations, Psychology","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at United Nations
Candidate 442,Medical & Life Sciences,Pharmaceutical Sciences,"Bachelor's in Pharmaceutical Sciences, Year: Freshman","Public Health, Nursing, Biomedical Engineering, Biology",N/A,N/A
Candidate 800,Math & Technology,Data Science,"Bachelor's in Data Science, Year: Sophomore","Computer Science, Mathematics, Mechanical Engineering, Software Engineering","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Amazon
Candidate 376,Math & Technology,Mechanical Engineering,"Master's in Mechanical Engineering, Year: Year 1","Mathematics, Data Science, Electrical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Tesla
Candidate 438,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Healthcare, Biomedical Engineering, Public Health","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at Pfizer
Candidate 255,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Senior","Supply Chain Management, Investment Banking, Accounting, Finance, Taxation","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Deloitte
Candidate 447,Arts & Design,Fashion Design,"Bachelor's in Fashion Design, Year: Senior","Photography, Fashion Design, Videography","Fashion Design Capstone Project, Internship Research on Fashion Design, Open-source contribution in Fashion Design",Intern at Adobe
Candidate 969,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 1","Data Science, Mechanical Engineering, Electrical Engineering","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Tesla
Candidate 863,Arts & Design,Photography,"Bachelor's in Photography, Year: Junior","Fashion Design, Graphic Design, Videography, Photography, Fine Arts","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Pixar
Candidate 942,Business & Finance,Investment Banking,"Bachelor's in Investment Banking, Year: Junior","Taxation, Investment Banking, Real Estate, Supply Chain Management","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Deloitte
Candidate 291,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Sophomore","Psychology, International Relations, Sociology, Political Science, Geography","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at National Geographic
Candidate 576,Arts & Design,Music,"Master's in Music, Year: Year 1","Fine Arts, Music, Fashion Design, Videography, Photography","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Spotify
Candidate 478,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 2","Software Engineering, Computer Science, Mechanical Engineering, Data Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Apple
